recipe_id,name,meal_type,cuisine,servings,prep_time_min,cook_time_min,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,diet_tags,med_attributes,ingredients,instructions,is_vegetarian,is_vegan,is_pescatarian,is_gluten_free,is_dairy_free,image_url
MD001,Ricotta & Fig Toast with Berries,Breakfast,Italian,1,15,10,433,17,52,20,10,381,"vegetarian, gluten_free","fruits, olive_oil, whole_grains, yogurt_cheese",berries; oats; feta; extra-virgin olive oil,Combine ingredients. Season with zaatar and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1512058564366-18510be2db19?q=80&w=800&auto=format&fit=crop
MD002,Fruit & Nuts Porridge with Eggplant,Breakfast,Modern Med,1,20,5,425,15,52,22,12,212,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",eggplant; bell pepper; garlic; orange; couscous; walnuts; extra-virgin olive oil; rye bread,Combine ingredients. Season with sumac and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?q=80&w=800&auto=format&fit=crop
MD003,Fruit & Nuts Porridge with Onion,Breakfast,Maghrebi,1,25,15,425,15,52,22,12,244,"vegetarian, vegan, gluten_free, dairy_free","fruits, nuts_seeds, olive_oil, vegetables, whole_grains",onion; eggplant; cucumber; apple; oats; pine nuts; extra-virgin olive oil; sourdough,Combine ingredients. Season with rosemary and sea salt. Drizzle olive oil. Serve fresh.,True,True,False,True,True,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?q=80&w=800&auto=format&fit=crop
MD004,Zaatar Labneh Toast with Onion,Breakfast,Levantine,1,20,10,408,17,45,20,10,410,"vegetarian, gluten_free","olive_oil, vegetables, whole_grains, yogurt_cheese",onion; avocado; mushroom; whole-wheat pasta; ricotta; extra-virgin olive oil; whole-grain bread,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1523986371872-9d3ba2e2f642?q=80&w=800&auto=format&fit=crop
MD005,Greek Yogurt Bowl with Onion,Breakfast,Maghrebi,1,30,15,442,20,38,26,8,389,"vegetarian, gluten_free","fruits, nuts_seeds, olive_oil, vegetables, yogurt_cheese",onion; spinach; zucchini; orange; walnuts; ricotta; extra-virgin olive oil,Combine ingredients. Season with thyme and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1517433670267-08bbd4be890f?q=80&w=800&auto=format&fit=crop
MD006,Veggie Omelette with Arugula,Breakfast,Modern Med,1,10,0,374,17,31,20,6,234,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",arugula; zucchini; spinach; labneh; extra-virgin olive oil,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1544025162-d76694265947?q=80&w=800&auto=format&fit=crop
MD007,Greek Yogurt Bowl with Garlic,Breakfast,Modern Med,1,30,15,442,20,38,26,8,279,"vegetarian, gluten_free","fruits, nuts_seeds, olive_oil, vegetables, yogurt_cheese",garlic; cucumber; kale; pear; hazelnuts; yogurt; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1517433670267-08bbd4be890f?q=80&w=800&auto=format&fit=crop
MD008,Veggie Omelette with Spinach,Breakfast,Spanish,1,15,10,374,17,31,20,6,326,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",spinach; zucchini; bell pepper; ricotta; extra-virgin olive oil; sourdough,Combine ingredients. Season with oregano and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1544025162-d76694265947?q=80&w=800&auto=format&fit=crop
MD009,Frittata with Eggplant,Breakfast,Levantine,1,10,10,374,17,31,20,6,368,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",eggplant; onion; cucumber; parmesan; extra-virgin olive oil,Combine ingredients. Season with mint and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1514514805297-163e5c9b90bb?q=80&w=800&auto=format&fit=crop
MD010,Veggie Omelette with Avocado,Breakfast,Greek,1,15,10,374,17,31,20,6,328,"vegetarian, gluten_free","olive_oil, vegetables, yogurt_cheese",avocado; onion; kale; ricotta; extra-virgin olive oil,Combine ingredients. Season with thyme and sea salt. Drizzle olive oil. Serve fresh.,True,False,False,True,False,https://images.unsplash.com/photo-1544025162-d76694265947?q=80&w=800&auto=format&fit=crop
